finger_x,finger_y,finger_z,label
0.445530355,0.262129992,0.445530355,right_click
0.447055817,0.26536715,0.447055817,right_click
0.444818139,0.263199389,0.444818139,right_click
0.455199093,0.264558882,0.455199093,right_click
0.455835313,0.262420654,0.455835313,right_click
0.481959641,0.227798656,0.481959641,pause
0.480922639,0.228707477,0.480922639,pause
0.458300978,0.262617975,0.458300978,pause
0.473921865,0.262513697,0.473921865,pause
0.469723761,0.266434461,0.469723761,pause
0.483208209,0.269085646,0.483208209,pause
0.486927688,0.268762618,0.486927688,pause
0.476886809,0.274711609,0.476886809,pause
0.477537453,0.272373021,0.477537453,pause
0.492197663,0.26790607,0.492197663,pause
0.488512218,0.278292775,0.488512218,pause
0.480178714,0.273247212,0.480178714,pause
0.495153844,0.22847487,0.495153844,pause
0.48080653,0.232915804,0.48080653,pause
0.474525213,0.237785295,0.474525213,pause
0.471665472,0.245620817,0.471665472,pause
0.477981329,0.251254618,0.477981329,pause
0.484423965,0.255368203,0.484423965,pause
0.467551768,0.260035574,0.467551768,pause
0.464815497,0.261730462,0.464815497,pause
0.551791489,0.309346855,0.551791489,pause
0.53470844,0.318012297,0.53470844,pause
0.490427583,0.324328512,0.490427583,pause
0.493717253,0.322759449,0.493717253,pause
0.492665797,0.325713813,0.492665797,pause
0.493329614,0.322664648,0.493329614,pause
0.499248087,0.327229619,0.499248087,pause
0.49676621,0.328253806,0.49676621,pause
0.502116919,0.329923034,0.502116919,pause
0.504227638,0.333760858,0.504227638,pause
0.505329788,0.338692307,0.505329788,pause
0.505439281,0.331476688,0.505439281,pause
0.518722415,0.315173268,0.518722415,pause
0.510639429,0.312792122,0.510639429,pause
0.493744403,0.313699245,0.493744403,pause
0.487787068,0.313290387,0.487787068,pause
0.496939301,0.316784292,0.496939301,pause
0.471660376,0.321984589,0.471660376,pause
0.465620428,0.319362164,0.465620428,pause
0.478261352,0.323096395,0.478261352,pause
0.488619983,0.290235519,0.488619983,pause
0.466928959,0.290114522,0.466928959,pause
0.459234625,0.294529647,0.459234625,pause
0.459624767,0.297227204,0.459624767,pause
0.459517181,0.291590124,0.459517181,pause
0.463143438,0.291070938,0.463143438,pause
0.462103724,0.289870679,0.462103724,pause
0.464519888,0.289218724,0.464519888,pause
0.471996337,0.288854122,0.471996337,pause
0.467446417,0.291737735,0.467446417,pause
0.473763973,0.286734045,0.473763973,pause
0.47278595,0.291808099,0.47278595,pause
0.473460078,0.280973256,0.473460078,pause
0.486198992,0.29362905,0.486198992,pause
0.4935624,0.284303784,0.4935624,pause
0.486301243,0.279691279,0.486301243,pause
0.471501231,0.289595366,0.471501231,pause
0.470364988,0.296643883,0.470364988,pause
0.472290903,0.295585155,0.472290903,pause
0.464020997,0.295353591,0.464020997,pause
0.50610286,0.243461266,0.50610286,pause
0.497788876,0.246573642,0.497788876,pause
0.460123122,0.257791787,0.460123122,pause
0.455502003,0.252682447,0.455502003,pause
0.464357287,0.25551939,0.464357287,pause
0.468701988,0.26066941,0.468701988,pause
0.464829624,0.25371623,0.464829624,pause
0.465039343,0.255979478,0.465039343,pause
0.45541209,0.253381729,0.45541209,pause
0.46178174,0.2536484,0.46178174,pause
0.463052571,0.253160834,0.463052571,pause
0.457736343,0.254054606,0.457736343,pause
0.498053879,0.254229128,0.498053879,pause
0.483073115,0.252036959,0.483073115,pause
0.47289142,0.256327629,0.47289142,pause
0.471032262,0.253911972,0.471032262,pause
0.462008238,0.251233995,0.462008238,pause
0.472392052,0.255279541,0.472392052,pause
0.463180125,0.2552917,0.463180125,pause
0.45879215,0.251777261,0.45879215,pause
0.504368246,0.265722066,0.504368246,pause
0.520042062,0.267224252,0.520042062,pause
0.485806644,0.274155259,0.485806644,pause
0.492385,0.273632169,0.492385,pause
0.498764783,0.27686879,0.498764783,pause
0.505415082,0.276100367,0.505415082,pause
0.504533172,0.273602456,0.504533172,pause
0.500827968,0.272539943,0.500827968,pause
0.507093728,0.277493149,0.507093728,pause
0.507348299,0.278890193,0.507348299,pause
0.504937887,0.275799513,0.504937887,pause
0.504209459,0.273174763,0.504209459,pause
0.514116108,0.25905031,0.514116108,pause
0.500742435,0.269689739,0.500742435,pause
0.503400922,0.263835549,0.503400922,pause
0.494127065,0.266634762,0.494127065,pause
0.490561694,0.270063668,0.490561694,pause
0.493543655,0.274186552,0.493543655,pause
0.494407982,0.276445061,0.494407982,pause
0.496921897,0.2795403,0.496921897,pause
